21 de março de 2022,50,Visita obrigatória. 👍🏼👍🏼,"Incrível o padrão de qualidade que a casa mantém. Restaurante lindo, muito bem localizado frente ao mar em Fortaleza. Comida como sempre muito boa com ingredientes de qualidade, e um atendimento nota dez do gerente Bakhtiar e do garçom Yuri. Com certeza indico e recomendo....🔝🔝Mais"
14 de março de 2022,40,Comida gostosa,"Comida é muito saborosa e os pratos são bem servidos. Dependendo da fome, o prato para duas pessoas servem três. Estávamos em seis pessoas e pedimos um prato para duas pessoas e outro para três. Todos comeram, repetiram e ainda sobrou comida.Mais"
9 de março de 2022,50,Experiência muito Boa!,5 estrelas Para o Côco Bambu do shopping Del Rey Belo Horizonte!  Fomos muito bem atendidos pelo Renê e toda a equipe do restaurante!Mais
6 de março de 2022,50,Avaliacao,Ótima..garçom atencioso deu várias dicas...simpático interagiu com grupo.Local lindo...comida ótima tdo certinho
6 de março de 2022,50,Sobre atendimento de Michel no coco bambu,"Como atendidos pelo Michel, um excelente atendimento, prestativo, atencioso, prontamente nos atendeu.Mais"
6 de março de 2022,50,Ótimo atendimento e local agradável,"Atendimento muito bom pelo sr. Michel, muito bem servidos desde entrada, prato e sobremesa. Recomendo"
6 de março de 2022,50,Almoço  em familia,"Chales,um otimo atendimento,comida super  bem servida,voltaremos com certeza .maravilhosa Charles vc e mil!!!!"
2 de março de 2022,50,Excelente atendimento e cardápio,Comida de excelência. Qualidade impecável. Preço honesto e faz juz à qualidade. Excelente organização na espera. Atendimento à mesa muito bom.  Recomendamos.
1 de março de 2022,50,Espetacular!,"Fantástico atendimento, com pratos bem servidos e extremamente saborosos e um visual agradabilíssimo para a orla de Fortaleza."
23 de fevereiro de 2022,50,Happy hour muito bom,"Atendimento ótimo com o garçom Lima, chopp gelado e no valor ótimo do happy hour. Comida bem servida, até sobrou!"
23 de fevereiro de 2022,50,Jantar a dois!,"Atendimento excelente do Lima! Comida boa, ambiente agradável e chopp geladíssimo! Voltaremos com certeza!"
23 de fevereiro de 2022,50,Coco Bambu sendo Coco Bambu,"Pratos deliciosos, drinks gostosos e com bons preços no happy hour, e atendimento alinhado! Fomos atendidos pelo Iuri. Muito atencioso!"
18 de fevereiro de 2022,50,Vale a pena ,"Restaurante excelente, preços bem acessíveis em relação a SP. Atendimento de qualidade. Estacionamento atrás do restaurante."
17 de fevereiro de 2022,50,Primeiro jantar em fortaleza,"Família vinda de Curitiba, saindo do do aeroporto direto para o restaurante. Ambiente otimo, recomendo sentar no lado externo, com a brisa do mar batendo. Garçom Franca incrível! Super atencioso! Comida ótima, principalmente o camarão a milanesa e a sobremesa torta trufara. Recomendamos."
17 de fevereiro de 2022,50,Atendimento do Garçon França,Garçon França  Super atencioso e solicito. Ambiente agradável e uma sobremesa de cortesia que nos surpreendeu. Sensacional.
17 de fevereiro de 2022,50,Experiência maravilhosa ,"Apesar de estar muito cheio, fomos muito bem atendidos. Estava tudo perfeito: drinks e comida. Atendimento excelente."
12 de fevereiro de 2022,10,Happy hour fail!,"Fomos do Paraná á fortaleza  e a idéia era curtir um Happy hour em um dos dias da viagem, estávamos em 4 pessoas. Pedimos chopp: Não Tinha! Pedimos moscow Mule: não tinha! Pedimos X- Burg: não tinha! pedimos Colorado(cerveja) NÃO TINHA! Era uma Sexta Feira!...Mais"
10 de fevereiro de 2022,50,Aniversário,"Quero deixar meu elogio ao Sr.França, que foi um excelente garçom, super prestativo e muito educado, super indico o restaurante e procurem o Sr.França, o melhor."
6 de fevereiro de 2022,40,Que tal opções sem lactose no cardápio?,Especializado em frutos do mar tem um cardápio variado. Na última visita pedimos um spaguetti com camarões estava bem saboroso. Meu marido sentiu falta de acompanhamentos como torradas e queijo ralado. Eu senti falta de opções de massa integral e alimentos sem lactose  na composição...Mais
6 de fevereiro de 2022,50,Almoço em familia,Excelente atendimento do Sr. Edcarlos. Comida bastante gostosa e bem servida. Somos clientes a bastante tempo e recomendo.
5 de fevereiro de 2022,50,Atendimento,"Excelente atendimento do Garçom Charles, ambiente agradável com música ao vivo voz e violão de ótima qualidade. E o prato estava magnífico. Comemos o famoso camarão internacional, muito saboroso 😋"
5 de fevereiro de 2022,50,Atendimento,"Ambiente muito agradável, música boa, atendimento é muito bom, quem nos atendeu foi o Charles é muito atencioso, educado e sempre muito a disposição. Coco Bambu Beira Mar Fortaleza é top."
4 de fevereiro de 2022,50,Senti me em Nova york,"Restaurante super moderno , boa comida e empregados muito simpáticos . Comemos camarão internacional e estava óptimo  Valor bastante razoável"
4 de fevereiro de 2022,50,Lua de Mel,"Ambiente com um acústico delícia, a voz da moça sensacional. Atendimento excelente com o garçom França, muito gentil, atencioso e alegre. Muito obrigada pela sobremesa e recepção França, voltaremos em breve 🖤"
4 de fevereiro de 2022,50,Adoramos a experiência,Fomos muito bem atendidos pelo Pachano e amamos a experiência! Tudo maravilhoso!!!  O prato principal estava saboroso e a sobremesa bem quentinha e bem servida.
4 de fevereiro de 2022,50,almoço,"Garçom França nos atendeu muito bem, super educado,  ambiente maravilhsoso, música ambiente agradável e a comida deliciosa!"
3 de fevereiro de 2022,50,Trouxe amigos para conhecer,"Tive um atendimento fora de sério do meu amigo , porque um atendimento desse não é só um garçom mas sim um amigo. Volto sempre."
3 de fevereiro de 2022,50,Férias,Nossa foi maravilhosooooo…  Tivemos o prazer de ser atendido pelo França…ja queria te-lo em minha cidade… Foi tudooo perfeitoo Super indico e voltarei!
3 de fevereiro de 2022,50,Almoço,"Muito bom o atendimento do França. Comida muito boa, ambiente muito agradável, atendimento rápido, música boa."
3 de fevereiro de 2022,50,Almoço de amigos,"Ótimo Atendimento com o garçom França, muito atencioso e prestativo. Restaurante impecável em todos os quesitos."
1 de fevereiro de 2022,50,Férias em fortaleza,"França atendimento excelente e muito simpático, comidas sensacionais, ambiente muito agradável com vista para o mar"
1 de fevereiro de 2022,50,Jantar em família,"Adoramos o atendimento em especial ao nosso amigo, França. Comida maravilhoso e lugar espetacular. Volto aqui várias vezes."
1 de fevereiro de 2022,30,Dentro do padrão,"O padrão do restaurante é o mesmo para todo o Brasil. Muito bom o ambiente e a comida. O atendimento não foi tão bom. O prato pedido poderia ser um preço melhor, pois foi um macarrão com molho e camarões, nada de muito especial. Não...Mais"
30 de janeiro de 2022,50,Delicioso restaurante. O melhor de fortaleza,"Tudo delicioso, atendimento do garçom França foi impecável. Pense num rapaz simpático. Comida maravilhosa, ambiente familiar, aberto. Comida muito boa. Nota 10!"
29 de janeiro de 2022,50,Atendimento top,"O atendimento de toda a equipe esta de parabéns como sempre impecável, comida maravilhosa e ambiente aconchegante !"
29 de janeiro de 2022,50,almoço em familia,"Fomos atendidos pelo garçom França e mt bem recebidos por td equipe do coco bambu, comida smp maravilhosa"
29 de janeiro de 2022,50,Almoço,"Excelente! França nos atendeu e foi ótimo. Pontual, trouxe a comida no ponto certo, em excelente tempo e nos surpreendeu com seu bom atendimento."
28 de janeiro de 2022,50,Comemoração de Aniversário,"O Coco Bambu da Praia de Iracema é o melhor lugar de Fortaleza para comemorar o aniversário. A equipe que atende é maravilhosa, em especial o maetre Marcus, que sempre nos apresenta as melhores opções do cardápio. Minha família ficou encantada! Voltarei várias vezes!"
28 de janeiro de 2022,50,Encontro de Amigis,Excelente atendimento pelo garçom França! Tudo excelente! Vista maravilhosa. Voltaremos sempre. França espetacular!
27 de janeiro de 2022,50,Ótimo atendimento,"Atencioso, prestativo e comunicativo. Adoramos ser atendidos por Pachano e todas as dicas de pratos e vinhos foram muito bem aceitas. Obrigado!"
27 de janeiro de 2022,50,Férias,"Excelente atendimento. Destaque para o garçom França: educado, prestativo , além de ter reservado a torta de maçã que há tempos não comia . Delicioso !"
27 de janeiro de 2022,50,Jantar,"O Garçom França é excelente, atendimento maravilhoso, hospitaleiro. Gostei da experiência , muito bom !"
